Trip ID,Year,Length of Trip in Days,Total Budget,Travel,Dining,Lodging,Per Diem,Incidental
1,2019,13,5000,1737.82,942.3,1511.25,469.53,721.98
2,2019,4,3000,841.2,645.06,755.25,344.85,446.77
3,2019,11,5000,1422.85,1029.96,1397.51,719.05,643.13
4,2019,8,5000,1237.26,1039.76,1305.03,652.92,750.61
5,2019,2,3000,790.59,729.23,859.16,272.93,325.44
6,2019,11,6000,1634.95,1060.53,1918.24,795.53,490.91
7,2019,13,6000,1792.34,1296.23,1798.49,843.55,619.35
8,2019,5,4000,952.3,789.7,1230.37,530.03,412.44
9,2019,8,4000,1171.51,939.06,1476.33,428.53,402.68
10,2019,9,4000,1202.52,966.84,1157.76,573.21,536.2
11,2019,4,3000,838.92,671.17,759.0,268.85,252.01
12,2019,5,3000,951.77,566.33,923.07,373.97,283.15
13,2019,4,4000,903.58,760.64,1159.67,432.72,521.07
14,2019,11,5000,1616.58,1145.39,1411.81,646.07,641.55
15,2019,3,3000,825.11,635.57,810.5,234.9,436.96
16,2019,13,5000,1436.99,990.85,1636.2,439.14,782.5
17,2019,4,3000,960.6,585.71,810.5,423.16,387.03
18,2019,6,5000,1425.48,955.64,1505.55,395.43,496.9
19,2019,5,3000,928.73,722.74,978.89,267.68,374.61
20,2019,4,4000,906.73,706.87,1452.65,454.1,521.2
1,2020,5,3000,737.37,549.25,972.21,238.98,337.33
2,2020,13,6000,1502.4,1231.68,1858.82,854.37,648.3
3,2020,6,5000,1464.6,882.98,1357.42,576.39,470.15
4,2020,13,7000,1826.36,1113.25,2291.11,529.2,890.88
5,2020,11,6000,1563.75,1058.45,2004.77,490.89,838.23
6,2020,4,4000,984.71,782.18,1290.99,403.13,481.45
7,2020,8,5000,1510.87,830.97,1387.19,427.25,768.46
8,2020,12,6000,1538.27,1265.47,1862.58,478.24,698.52
9,2020,13,5000,1557.81,950.81,1715.43,497.51,498.18
10,2020,14,6000,1766.25,1175.72,1598.35,770.05,806.14
11,2020,2,3000,768.85,645.5,1055.85,429.93,338.22
12,2020,2,3000,758.49,703.07,876.57,308.41,431.58
13,2020,5,3000,765.59,657.32,1150.57,353.53,308.38
14,2020,9,4000,1076.53,830.49,1488.48,447.83,466.14
15,2020,11,6000,1828.64,1177.35,1804.23,692.75,635.19
16,2020,14,6000,1665.55,1127.49,2067.91,674.48,523.14
17,2020,4,3000,794.79,545.01,849.53,402.36,355.88
18,2020,7,5000,1409.71,854.67,1233.53,596.58,445.49
19,2020,6,5000,1309.05,975.68,1746.91,605.78,658.41
20,2020,12,5000,1612.65,1007.79,1361.86,621.81,731.66
1,2021,8,5000,1193.27,848.52,1130.74,692.12,662.56
2,2021,5,4000,915.67,748.14,1256.54,268.07,458.96
3,2021,14,6000,1751.77,1268.39,1620.97,938.85,732.88
4,2021,8,5000,1237.38,809.35,1424.21,691.47,409.21
5,2021,13,5000,1279.91,821.61,1403.61,696.58,418.48
6,2021,6,4000,1234.07,873.68,1125.78,513.7,543.32
7,2021,7,5000,1312.63,803.71,1376.8,672.02,353.03
8,2021,14,5000,1473.23,1245.8,1452.03,729.44,594.32
9,2021,14,5000,1466.86,942.62,1780.95,581.4,503.24
10,2021,11,6000,1601.7,1162.74,1876.79,709.21,795.19
11,2021,4,4000,930.76,589.23,1201.98,452.22,568.03
12,2021,2,3000,748.03,675.67,1200.86,407.67,457.96
13,2021,5,3000,779.55,522.76,1163.61,341.16,272.51
14,2021,6,4000,1209.37,665.75,1125.19,394.1,393.41
15,2021,8,5000,1262.44,863.81,1457.34,676.58,547.79
16,2021,5,3000,780.13,597.24,870.94,330.08,316.0
17,2021,4,3000,750.76,475.57,933.87,289.96,335.67
18,2021,6,4000,1127.03,759.0,1485.16,544.29,452.21
19,2021,13,5000,1383.0,1080.43,1274.18,805.48,561.87
20,2021,2,4000,971.49,829.78,1399.89,566.13,313.92
1,2022,12,6000,1494.07,1204.26,1676.83,870.2,863.01
2,2022,11,5000,1394.45,1225.08,1448.46,587.99,579.75
3,2022,8,6000,1477.79,1136.59,1810.15,585.96,722.09
4,2022,9,5000,1293.55,1044.04,1402.79,725.59,442.82
5,2022,5,3000,1006.7,535.84,847.25,465.96,438.03
6,2022,6,4000,1002.5,927.87,1033.63,461.68,478.1
7,2022,4,4000,1013.55,689.5,1044.25,457.95,523.28
8,2022,12,6000,1364.52,923.23,2037.78,807.9,481.47
9,2022,4,3000,1046.74,537.14,923.28,408.31,409.48
10,2022,5,3000,861.35,680.4,969.86,314.81,305.92
11,2022,9,5000,1478.88,798.88,1394.79,581.74,531.75
12,2022,2,3000,877.94,592.7,867.94,303.28,420.32
13,2022,11,6000,1730.68,1006.91,1913.85,548.7,977.21
14,2022,9,6000,1535.21,1087.6,1503.3,771.55,751.74
15,2022,13,6000,1493.34,1229.53,1714.99,541.84,575.92
16,2022,12,6000,1583.62,854.92,2012.14,758.33,601.72
17,2022,10,6000,1851.93,1220.98,1464.12,682.82,613.41
18,2022,6,5000,1572.39,1120.26,1319.3,673.3,662.94
19,2022,2,3000,711.76,543.44,944.0,420.64,425.01
20,2022,11,5000,1408.81,1238.37,1614.36,522.06,712.1
1,2023,3,3000,752.22,548.25,820.19,265.04,286.29
2,2023,12,5000,1390.57,1139.44,1836.15,470.69,590.9
3,2023,2,4000,1021.47,679.95,1316.04,473.3,389.93
4,2023,11,5000,1423.38,1102.23,1532.4,676.67,706.44
5,2023,6,5000,1202.5,875.7,1600.89,597.85,395.74
6,2023,10,6000,1961.82,1204.78,1737.95,945.42,501.36
7,2023,7,5000,1260.23,1060.08,1665.26,566.07,670.0
8,2023,8,5000,1268.68,923.22,1593.32,505.46,357.38
9,2023,5,4000,856.73,620.93,1138.7,485.24,435.87
10,2023,7,5000,1287.67,865.45,1453.42,472.4,719.11
11,2023,13,5000,1532.62,1054.44,1634.77,480.16,467.93
12,2023,3,3000,784.84,472.5,979.22,298.38,372.65
13,2023,13,6000,1639.55,1147.25,1534.86,812.72,605.82
14,2023,6,4000,1238.26,877.9,1095.57,330.71,492.3
15,2023,13,6000,1913.3,1037.71,1641.7,879.71,923.53
16,2023,3,4000,901.66,684.18,1226.29,406.65,465.9
17,2023,7,6000,1504.3,981.03,1917.13,790.3,764.11
18,2023,2,3000,697.13,539.09,737.71,317.75,313.47
19,2023,9,4000,1028.18,676.26,1050.88,326.98,430.23
20,2023,4,4000,974.57,838.46,1381.37,364.92,521.35
